D:\Ufca\CC0051_AM\training_results\v5\10.pth; 12580477; 13035077; 1561110; 16178681; 24094653; 26205777; 29155212; 31178212; 33396948; 34627841; 38369349; 40605147; 41209827; 4206964; 42941100; 44095762; 44405066; 44508094; 464362; 46986414; 4709881; 49238328; 50091196; 5043010; 50705071; 53129443; 55144522; 56120475; 56132807; 57116033; 58481572; 63261835; 6368038; 65017789; 70095154; 70781052; 7093411; 71625222; 72302403; 73580471; 74677422; 79979666; 80666118; 82044280; 84013237; 88819587; 89631139; 89943723; 95308449
12580477; 4810.01416015625; 42187.09765625; 49436.7109375; 62195.7890625; 20184.21484375; 55089.69140625; 37314.73828125; 51079.6875; 74499.375; 57025.83984375; 46319.80859375; 39638.859375; 61820.0; 33296.6328125; 49707.41015625; 18645.73828125; 64701.8515625; 95689.71875; 80884.1796875; 84623.265625; 64721.12109375; 65823.765625; 40309.046875; 71913.5625; 62014.5546875; 20242.705078125; 68544.7734375; 31384.146484375; 48140.06640625; 59607.921875; 33053.73828125; 55785.33203125; 63646.59375; 66128.7734375; 57770.5625; 58978.28515625; 66835.796875; 68201.25; 7531.9501953125; 60510.58984375; 78551.4609375; 43817.7578125; 52295.96875; 38725.0546875; 41268.25; 63637.1484375; 52371.94921875; 66566.8203125; 27388.3828125
13035077; 47703.96875; 6628.11328125; 7551.1728515625; 19336.6015625; 24969.59375; 13007.302734375; 8098.9326171875; 10926.6064453125; 31430.150390625; 14329.634765625; 4333.64453125; 9516.794921875; 18942.392578125; 76265.6171875; 7937.20263671875; 26893.64453125; 21718.990234375; 52489.0078125; 37738.82421875; 41337.8046875; 21760.16796875; 22438.2734375; 6725.4208984375; 28831.822265625; 19511.05078125; 25229.921875; 25491.4921875; 15686.3388671875; 9403.646484375; 16318.0498046875; 14435.6279296875; 13535.1328125; 20784.7421875; 22980.880859375; 15708.4111328125; 16498.234375; 24097.603515625; 25026.95703125; 39997.16796875; 17701.841796875; 35266.77734375; 7641.275390625; 10080.4404296875; 8539.763671875; 5308.36572265625; 20756.91796875; 10464.6220703125; 24073.857421875; 16855.66015625
1561110; 45871.1484375; 4339.43798828125; 7554.611328125; 20320.5234375; 22861.048828125; 13746.9794921875; 6932.02294921875; 10394.3291015625; 32712.20703125; 15367.974609375; 5333.7587890625; 6376.828125; 20161.39453125; 74766.53125; 9475.5712890625; 25272.125; 22905.060546875; 53836.80859375; 39137.6796875; 42720.1796875; 23106.171875; 23871.8125; 4326.14794921875; 30149.2421875; 20544.416015625; 23211.16796875; 27018.95703125; 13136.1044921875; 8408.4716796875; 17839.2421875; 11748.1298828125; 14136.65234375; 21806.470703125; 24458.203125; 16625.888671875; 17413.37109375; 25522.29296875; 26463.765625; 38573.55078125; 18770.04296875; 36753.859375; 5495.02197265625; 10682.138671875; 5684.98876953125; 2651.43017578125; 22172.046875; 11140.244140625; 25150.880859375; 14821.5224609375
16178681; 47865.47265625; 3764.341796875; 6166.68505859375; 18173.853515625; 24870.388671875; 11799.611328125; 9580.9013671875; 7242.93359375; 30693.634765625; 13535.017578125; 5996.60888671875; 5504.7021484375; 18370.830078125; 76998.4453125; 9390.7333984375; 27276.419921875; 20762.10546875; 51655.9609375; 37126.51171875; 40683.71484375; 21275.314453125; 22155.26171875; 5616.81982421875; 28109.232421875; 18518.8359375; 25277.994140625; 25301.796875; 14201.669921875; 5498.3857421875; 16261.3408203125; 12947.37890625; 11950.5576171875; 19852.125; 22751.337890625; 14802.23046875; 15358.74609375; 23606.4921875; 24760.259765625; 41054.35546875; 16764.806640625; 34813.8671875; 3385.517333984375; 8599.0859375; 6489.41650390625; 4229.92724609375; 20582.248046875; 9492.115234375; 23134.021484375; 17147.138671875
24094653; 30837.04296875; 15940.8388671875; 22889.869140625; 35509.15625; 7337.07373046875; 28883.625; 12494.4931640625; 24573.693359375; 47972.29296875; 30727.55078125; 20111.755859375; 13677.6767578125; 35517.6875; 59762.8671875; 24186.73046875; 12536.6123046875; 38108.95703125; 69065.34375; 54447.80859375; 58013.48828125; 38433.9921875; 39216.94921875; 14281.533203125; 45465.85546875; 35795.35546875; 9363.1533203125; 42416.2265625; 6650.66552734375; 22092.818359375; 33206.390625; 7670.23193359375; 29060.26171875; 37046.453125; 39907.13671875; 31800.001953125; 32619.734375; 40718.5234375; 41870.8984375; 24265.91796875; 34052.34375; 52073.375; 17762.70703125; 25710.625; 12471.37109375; 14565.9638671875; 37505.953125; 26237.53125; 40292.33203125; 3763.765380859375
26205777; 42118.4921875; 5850.9990234375; 11473.5517578125; 24134.884765625; 19453.923828125; 17164.6953125; 3575.685791015625; 13797.2998046875; 36448.2421875; 18930.474609375; 8310.7890625; 5906.61669921875; 23708.42578125; 70948.3515625; 12112.0341796875; 21283.388671875; 26610.08203125; 57576.65234375; 42785.28515625; 46450.859375; 26640.728515625; 27614.740234375; 3880.536865234375; 33826.375; 24050.251953125; 19644.609375; 30557.796875; 10361.0380859375; 11264.4345703125; 21417.611328125; 9586.8564453125; 17999.48828125; 25597.677734375; 28003.265625; 20000.921875; 20979.40625; 28900.642578125; 30077.900390625; 34711.5625; 22405.5390625; 40426.0703125; 7197.26513671875; 14278.25390625; 4513.69775390625; 4255.755859375; 25686.880859375; 14503.7080078125; 28755.041015625; 11130.4658203125
29155212; 44539.23046875; 5816.66552734375; 9909.908203125; 22208.2109375; 22121.787109375; 14987.3544921875; 3631.344482421875; 12112.9462890625; 34280.51171875; 16720.1328125; 6059.54052734375; 6554.3193359375; 21353.115234375; 73179.640625; 9297.228515625; 23233.271484375; 24496.6640625; 55351.7421875; 40441.69921875; 44193.4140625; 24212.21484375; 25492.640625; 3289.35400390625; 31617.158203125; 21680.07421875; 22098.072265625; 28233.16015625; 12846.8876953125; 9802.71875; 19162.107421875; 12214.1748046875; 16348.58984375; 23499.525390625; 25641.875; 17697.953125; 18776.966796875; 26336.919921875; 27728.74609375; 36868.13671875; 20303.130859375; 38139.4375; 5752.62060546875; 12314.5869140625; 5644.71142578125; 4878.06884765625; 23314.462890625; 12302.2861328125; 26518.5390625; 13799.703125
31178212; 38161.7734375; 8841.9873046875; 15792.408203125; 28130.27734375; 15583.232421875; 21422.330078125; 7714.82666015625; 16620.6171875; 40580.15625; 23252.23828125; 13564.5634765625; 5608.51318359375; 28058.705078125; 67274.984375; 17320.9453125; 18101.45703125; 30540.70703125; 61482.7578125; 46954.91796875; 50510.8359375; 30977.443359375; 32046.2109375; 7802.775390625; 37944.15234375; 28179.412109375; 16385.375; 35042.21484375; 6398.28662109375; 14276.3564453125; 25987.291015625; 6778.35693359375; 21862.75390625; 29736.83984375; 32503.013671875; 24316.822265625; 25120.892578125; 33166.7578125; 34547.05859375; 31678.08203125; 26538.548828125; 44661.44921875; 9991.419921875; 18254.171875; 5937.5849609375; 8044.50927734375; 30271.65234375; 18927.373046875; 32906.1875; 8379.9443359375
33396948; 60924.92578125; 15251.755859375; 8117.74365234375; 5494.19580078125; 37976.7265625; 3628.00341796875; 20827.642578125; 7479.17919921875; 17367.458984375; 2679.42724609375; 12022.9189453125; 18257.61328125; 6401.47607421875; 90049.8046875; 9895.359375; 39871.98046875; 7956.83251953125; 38500.828125; 23888.912109375; 27636.31640625; 8675.3642578125; 9241.34375; 17299.017578125; 14806.2998046875; 6152.2685546875; 37989.40625; 12123.46875; 26921.05859375; 9911.208984375; 4375.63427734375; 25413.80078125; 2808.834228515625; 6805.853515625; 9875.841796875; 4344.84619140625; 2936.02685546875; 11211.8037109375; 11628.3173828125; 53895.69140625; 4906.9111328125; 21494.400390625; 14281.6826171875; 5780.4345703125; 18946.388671875; 16442.759765625; 7835.318359375; 5677.76318359375; 10115.0546875; 30128.783203125
