D:\Ufca\CC0051_AM\training_results\v3\10.pth; 10000; 111280; 114932; 122520; 126218; 2511; 27551; 32864; 35699; 39015
10000; 6079.865234375; 4884.17138671875; 8086.67529296875; 3003.90478515625; 2965.95703125; 3434.60693359375; 10342.580078125; 11509.12890625; 1683.3095703125; 3958.204345703125
111280; 3720.79833984375; 917.2652587890625; 5485.60595703125; 2958.2763671875; 2586.550048828125; 3233.59423828125; 7403.1171875; 8811.955078125; 3591.177490234375; 2826.56103515625
114932; 2446.155029296875; 3312.2587890625; 2463.49365234375; 3562.971435546875; 4057.01953125; 3415.507080078125; 5149.1015625; 6623.1064453125; 4558.19677734375; 2576.631591796875
122520; 3934.869140625; 2967.351806640625; 5024.32763671875; 685.4071044921875; 1954.2550048828125; 1276.7540283203125; 7232.06591796875; 8771.4404296875; 2522.00341796875; 1302.239501953125
126218; 7560.7724609375; 8695.3515625; 5298.28857421875; 10280.189453125; 10541.2568359375; 10068.4208984375; 4036.763671875; 5153.8037109375; 11604.30859375; 9251.6357421875
2511; 5090.626953125; 3853.681640625; 6554.72607421875; 1332.0; 1543.2843017578125; 1467.916015625; 8720.712890625; 10080.81640625; 1624.4620361328125; 2560.319091796875
27551; 3979.625732421875; 3200.8671875; 4224.41748046875; 3147.310791015625; 3272.771484375; 2824.46337890625; 5454.9423828125; 7686.03369140625; 4435.4033203125; 2603.627685546875
32864; 7782.7060546875; 10251.8994140625; 6899.73193359375; 11731.7802734375; 11432.123046875; 11128.6865234375; 6047.14794921875; 2764.5400390625; 12371.1181640625; 11020.380859375
35699; 3192.137451171875; 4039.56005859375; 5416.5400390625; 3751.706787109375; 2851.02392578125; 3178.035888671875; 7513.2138671875; 7851.56298828125; 3290.551025390625; 3990.65380859375
39015; 3643.626708984375; 2844.6474609375; 4667.99609375; 1612.766357421875; 2601.74853515625; 1921.50927734375; 6894.796875; 8604.279296875; 2765.19580078125; 274.8516845703125
================================================
D:\Ufca\CC0051_AM\training_results\v3\20.pth; 10000; 111280; 114932; 122520; 126218; 2511; 27551; 32864; 35699; 39015
10000; 7722.58544921875; 103079.8203125; 95249.8203125; 51470.83984375; 97376.8203125; 34609.91015625; 131698.96875; 108089.921875; 10170.580078125; 24657.888671875
111280; 87996.6640625; 9577.546875; 10204.6591796875; 42717.53515625; 8092.5947265625; 59558.65234375; 39050.0234375; 18458.28515625; 84858.515625; 69984.1875
114932; 84464.7265625; 16212.20703125; 5736.05078125; 38933.859375; 12710.96484375; 55912.796875; 42363.3671875; 20626.498046875; 81041.40625; 66247.234375
122520; 63045.8671875; 35376.3203125; 27157.236328125; 17042.2734375; 29832.66015625; 34110.22265625; 63508.12890625; 40639.61328125; 59524.66796875; 44691.58984375
126218; 157571.328125; 60888.9609375; 68428.703125; 111873.765625; 67153.0390625; 128978.390625; 33176.44140625; 57540.515625; 154301.890625; 139145.09375
2511; 45212.73828125; 53056.61328125; 45136.7890625; 3420.825439453125; 47112.13671875; 16071.0693359375; 81462.796875; 58019.140625; 41587.921875; 27299.166015625
27551; 127952.625; 31509.232421875; 39286.375; 82291.9609375; 36800.63671875; 99111.8984375; 3613.372314453125; 27499.376953125; 124497.3046875; 109684.3125
32864; 146581.421875; 51735.53125; 58876.6796875; 101933.1796875; 56241.5859375; 118474.0625; 26447.5859375; 44641.4296875; 143370.984375; 129389.9296875
35699; 71083.578125; 29775.544921875; 22074.76171875; 27978.736328125; 22765.02734375; 43258.44921875; 56665.3046875; 31677.466796875; 67728.5390625; 54478.03125
39015; 31046.76171875; 67689.1015625; 59662.2890625; 16128.9052734375; 62240.4609375; 5889.2265625; 96040.7890625; 73115.2421875; 27519.650390625; 11840.9033203125
================================================
D:\Ufca\CC0051_AM\training_results\v3\30.pth; 10000; 111280; 114932; 122520; 126218; 2511; 27551; 32864; 35699; 39015
10000; 16900.57421875; 69316.8125; 80544.7265625; 32285.294921875; 70007.4609375; 26290.49609375; 111929.7265625; 103401.5; 14391.587890625; 14163.62890625
111280; 47186.1796875; 7087.16357421875; 21400.353515625; 31281.900390625; 11028.38671875; 37469.8515625; 50711.23828125; 42999.90625; 49892.01171875; 51081.6640625
114932; 51847.96875; 10833.498046875; 13580.0625; 35753.33984375; 11042.4453125; 41940.81640625; 45458.765625; 37913.52734375; 54025.26171875; 55433.109375
122520; 33078.07421875; 22851.35546875; 33445.890625; 15624.3095703125; 23617.201171875; 22027.7890625; 64603.4140625; 56867.69921875; 34905.79296875; 35956.62109375
126218; 103240.796875; 50373.1796875; 39292.0546875; 86666.15625; 50695.90234375; 93137.328125; 13505.51953125; 24980.197265625; 105695.0625; 106302.453125
2511; 20416.833984375; 36014.84375; 46969.125; 4548.6298828125; 36180.8828125; 8320.685546875; 78110.0703125; 69817.046875; 21606.541015625; 23435.42578125
27551; 83550.546875; 31086.677734375; 20311.107421875; 66845.671875; 30055.388671875; 72790.9140625; 13694.15625; 14518.1201171875; 85511.6484375; 86718.40625
32864; 119077.953125; 68201.78125; 57059.2734375; 104377.3359375; 66176.3359375; 109949.0546875; 31525.953125; 32387.34375; 121632.421875; 124400.2421875
35699; 49461.6796875; 17084.98046875; 21197.8203125; 36131.5625; 12096.3271484375; 40738.79296875; 50224.0546875; 38977.24609375; 51717.05859375; 55436.12890625
39015; 11030.9384765625; 50235.0703125; 61064.5703125; 13242.359375; 51318.23828125; 9613.0263671875; 92304.015625; 84711.1171875; 11053.04296875; 7752.6416015625
================================================
